date,action,ticker,security,reason
1976-07-01,add,BUD,Anheuser Busch,"Major restructuring of S&P 500 to have fewer industrials and utilities, and more financial companies to add ""new strength and breadth""[277]"
1976-07-01,add,DIS,The Walt Disney Company,"Major restructuring of S&P 500 to have fewer industrials and utilities, and more financial companies to add ""new strength and breadth""[277]"
1976-07-01,remove,AYE,Allegheny Energy,"Major restructuring of S&P 500 to have fewer industrials and utilities, and more financial companies to add ""new strength and breadth""[277]"
1976-07-01,remove,HNG,Houston Natural Gas,"Major restructuring of S&P 500 to have fewer industrials and utilities, and more financial companies to add ""new strength and breadth""[277]"
1994-09-30,add,NCC,National City,McKesson sold PCS Health Services to Eli Lilly.[276]
1994-09-30,remove,MCK,McKesson,McKesson sold PCS Health Services to Eli Lilly.[276]
1997-06-17,add,CCR,Countrywide Credit Industries,AIG acquired USLife.[275]
1997-06-17,remove,USL,USLife,AIG acquired USLife.[275]
1998-12-11,add,CCL,Carnival Corporation,Berkshire Hathaway purchased General Re.[274]
1998-12-11,add,CPWR,Compuware,AIG purchased SunAmerica.[274]
1998-12-11,add,FSR,Firstar,BP purchased Amoco.[274]
1998-12-11,remove,AN,Amoco,BP purchased Amoco.[274]
1998-12-11,remove,GRN,General Re,Berkshire Hathaway purchased General Re.[274]
1998-12-11,remove,SUN,SunAmerica,AIG purchased SunAmerica.[274]
1999-04-12,add,ACT,Actavis,Actavis plc (NYSE:ACT) added to S&P 500
1999-06-09,add,WLP,Wellpoint,Harnischfeger filed for bankruptcy.[273]
1999-06-09,remove,HPH,Harnischfeger Industries,Harnischfeger filed for bankruptcy.[273]
1999-12-08,add,YHOO,Yahoo!,Market capitalization change.[272]
1999-12-08,remove,LDW,Laidlaw,Market capitalization change.[272]
2000-06-07,add,SBUX,Starbucks,Siemens AG acquired Shared Medical Systems.[271]
2000-06-07,remove,SMS,Shared Medical Systems,Siemens AG acquired Shared Medical Systems.[271]
2000-06-12,add,CVG,Convergys,Tribune Co. acquired Times Mirror.[271]
2000-06-12,remove,TMC,Times Mirror,Tribune Co. acquired Times Mirror.[271]
2000-07-27,add,JDSU,JDS Uniphase,Market Cap change.[270]
2000-07-27,remove,RAD,Rite Aid,Market Cap change.[270]
2000-12-05,add,ABK,Ambac Financial,Market Cap changes.
2000-12-05,add,AYE,Allegheny Energy,Market Cap changes.
2000-12-05,add,INTU,Intuit,Market Cap changes.[269]
2000-12-05,add,SBL,Symbol Technologies,Market Cap changes.
2000-12-05,remove,BS,Bethlehem Steel,Market Cap changes.[269]
2000-12-05,remove,CCK,Crown Holdings,Market Cap changes.
2000-12-05,remove,GRA,WR Grace,Market Cap changes.
2000-12-05,remove,OI,Owens-Illinois,Market Cap changes.
2003-09-25,add,ESRX,Express Scripts,Taken private
2003-09-25,remove,QTRN,Quintiles Transnational,Taken private
2005-07-01,add,STZ,Constellation Brands,Acquired by Crompton Corp.
2005-07-01,remove,GLK,Great Lakes Chemical,Acquired by Crompton Corp.
2005-11-18,add,AMZN,Amazon,AT&T Corp. acquired by SBC Communications[268]
2005-11-18,remove,T,AT&T Corporation,AT&T Corp. acquired by SBC Communications[268]
2006-06-02,add,JNPR,Juniper Networks,Albertsons acquired by SuperValu and CVS Corp.[267]
2006-06-02,remove,ABS,Albertsons,Albertsons acquired by SuperValu and CVS Corp.[267]
2007-01-10,add,AVB,AvalonBay Communities,Acquired by Motorola[266]
2007-01-10,remove,SBL,Symbol Technologies,Acquired by Motorola[266]
2007-03-30,add,KFT,Kraft Foods,Taken Private[265]
2007-03-30,remove,TSG,Sabre Corporation,Taken Private[265]
2007-07-02,add,DFS,Discover Financial,Discover Financial Services debuts on New York Stock Exchange.[264]
2007-07-02,remove,ADCT,ADC Telecommunications,Discover Financial Services debuts on New York Stock Exchange.[264]
2007-08-24,add,LUK,Leucadia National,Acquired by National Grid plc[263]
2007-08-24,remove,KSE,KeySpan,Acquired by National Grid plc[263]
2007-09-26,add,ICE,Intercontinental Exchange,FDC acquired by KKR.[262]
2007-09-26,remove,FDC,First Data,FDC acquired by KKR.[262]
2007-09-27,add,TSO,Tesoro Corporation,MXIM delisted from NASDAQ exchange.[262]
2007-09-27,remove,MXIM,Maxim Integrated Products,MXIM delisted from NASDAQ exchange.[262]
2007-10-01,add,TDC,Teradata,Teradata spun off by NCR Corporation.[262]
2007-10-01,remove,NCR,NCR Corporation,Teradata spun off by NCR Corporation.[262]
2007-10-02,add,EXPE,Expedia,Solectron acquired by Flextronics.[262]
2007-10-02,remove,SLR,Solectron,Solectron acquired by Flextronics.[262]
2007-10-26,add,JEC,Jacobs Engineering Group,Taken private[261]
2007-10-26,remove,AV,Avaya,Taken private[261]
2007-12-13,add,GME,GameStop,Acquired by News Corporation
2007-12-13,remove,DJ,Dow Jones,Acquired by News Corporation
2007-12-20,add,RRC,Range Resources,Taken private[260]
2007-12-20,remove,TRB,Tribune Media,Taken private[260]
2008-06-10,add,LO,Lorillard Tobacco Company,Market Value Decline[259]
2008-06-10,remove,ABK,Ambac Financial,Market Value Decline[259]
2008-06-23,add,COG,Cabot Oil & Gas,Market capitalization change.[258]
2008-06-23,add,MEE,Massey Energy,Market capitalization change.[258]
2008-06-23,remove,BC,Brunswick,Market capitalization change.[258]
2008-06-23,remove,OMX,OfficeMax,Market capitalization change.[258]
2008-07-01,add,AKS,AK Steel,Ak Steel replaced Countrywide Financial.[257]
2008-07-01,remove,CFC,Countrywide Financial Corp,Ak Steel replaced Countrywide Financial.[257]
2008-09-12,add,CRM,Salesforce,Capitalization rebalance.[256]
2008-09-12,add,FAST,Fastenal,Capitalization rebalance.[256]
2008-09-12,remove,FNM,Fannie Mae,Capitalization rebalance.[256]
2008-09-12,remove,FRE,Freddie Mac,Capitalization rebalance.[256]
2008-09-16,add,HRS,Harris Corporation,Lehman Brothers filed for bankruptcy.[255]
2008-09-16,remove,LEH,Lehman Brothers,Lehman Brothers filed for bankruptcy.[255]
2008-12-31,add,OI,Owens-Illinois,Wachovia Bank acquired by Wells Fargo.[254]
2008-12-31,remove,WB,Wachovia Bank,Wachovia Bank acquired by Wells Fargo.[254]
2009-03-03,add,HRL,Hormel Foods,Capitalization rebalance.[253]
2009-03-03,add,VTR,Ventas,Capitalization rebalance.
2009-03-03,remove,ACAS,American Capital,Capitalization rebalance.[253]
2009-03-03,remove,JNY,Jones Apparel Group,Capitalization rebalance.
2009-06-05,add,FTI,FMC Technologies,"Covidien moved its place of incorporation to Ireland, making it ineligible for inclusion in the index.[252]"
2009-06-05,remove,COV,Covidien,"Covidien moved its place of incorporation to Ireland, making it ineligible for inclusion in the index.[252]"
2009-06-25,remove,TEL,TE Connectivity,"Tyco Electronics left the index because it was reincorporating in Switzerland, making it ineligible for inclusion.[251]"
2009-06-29,add,PCS,MetroPCS,PCS replaced TEL.[251]
2009-08-19,add,FMC,FMC Corporation,Centex acquired by Pulte Homes.[250]
2009-08-19,remove,CTX,Centex Corp.,Centex acquired by Pulte Homes.[250]
2009-09-28,add,ARG,Airgas,Redomesticated to Ireland[249]
2009-09-28,remove,CBE,Cooper Industries,Redomesticated to Ireland[249]
2009-11-03,add,PCLN,Priceline.com,Acquired by Merck & Co. (MRK)[248]
2009-11-03,remove,SGP,Schering-Plough,Acquired by Merck & Co. (MRK)[248]
2009-12-18,add,CLF,Cliffs Natural Resources,Market capitalization change.[citation needed]
2009-12-18,add,MJN,Mead Johnson Nutrition,Market capitalization change.[citation needed]
2009-12-18,add,ROST,Ross Stores,Market capitalization change.[citation needed]
2009-12-18,add,SAI,SAIC,Market capitalization change.[citation needed]
2009-12-18,add,V,Visa,Market capitalization change.[citation needed]
2009-12-18,remove,CIEN,Ciena,Market capitalization change.[citation needed]
2009-12-18,remove,CVG,Convergys,Market capitalization change.[citation needed]
2009-12-18,remove,DYN,Dynegy,Market capitalization change.[citation needed]
2009-12-18,remove,KBH,KB Home,Market capitalization change.[citation needed]
2009-12-18,remove,MBI,MBIA,Market capitalization change.[citation needed]
2010-02-26,add,HP,Helmerich & Payne,Taken private
2010-02-26,remove,RX,IMS Health,Taken private
2010-04-29,add,CERN,Cerner,Acquired by Baker Hughes[247]
2010-04-29,remove,BJS,BJ Services,Acquired by Baker Hughes[247]
2010-06-28,add,KMX,CarMax,Acquired by ExxonMobil[246]
2010-06-28,remove,XTO,XTO Energy,Acquired by ExxonMobil[246]
2010-06-30,add,QEP,QEP Resources,"Company split. QEP retained, but ticker changed.[245]"
2010-06-30,remove,STR,Questar,"Company split. QEP retained, but ticker changed.[245]"
2010-07-14,add,CB,Chubb,Acquired by Merck KGaA (MKGAY)[244]
2010-07-14,remove,MIL,Millipore,Acquired by Merck KGaA (MKGAY)[244]
2010-08-26,add,TYC,Tyco International,Acquired by Schlumberger (SLB)[243]
2010-08-26,remove,SII,Smith International,Acquired by Schlumberger (SLB)[243]
2010-11-17,add,IR,Ingersoll-Rand,Reynolds Group Holdings acquired Pactiv.[242]
2010-11-17,remove,PTV,Pactiv,Reynolds Group Holdings acquired Pactiv.[242]
2010-12-17,add,CVC,Cablevision,Acquired by Pfizer.[241]
2010-12-17,add,FFIV,F5 Networks,Market Cap changes.[241]
2010-12-17,add,NFLX,Netflix,Market Cap changes.
2010-12-17,add,NFX,Newfield Exploration,Market Cap changes.
2010-12-17,remove,EK,Eastman Kodak,Market Cap changes.[241]
2010-12-17,remove,KG,King Pharmaceuticals,Acquired by Pfizer.[241]
2010-12-17,remove,NYT,The New York Times Company,Market Cap changes.
2010-12-17,remove,ODP,Office Depot,Market Cap changes.
2011-01-03,add,MMI,Motorola Mobility,S&P constituent Motorola spun off Motorola Mobility.[240]
2011-01-03,remove,MDP,Meredith Corp,S&P constituent Motorola spun off Motorola Mobility.[240]
2011-02-25,add,JOYG,Joy Global,Acquired by First Energy (FE).[239]
2011-02-25,remove,AYE,Allegheny Energy,Acquired by First Energy (FE).[239]
2011-02-28,add,COV,Covidien,Acquired by Intel[238]
2011-02-28,remove,MFE,McAfee,Acquired by Intel[238]
2011-03-31,add,EW,Edwards Lifesciences,Acquired by CenturyLink[237]
2011-03-31,remove,Q,Qwest Communications,Acquired by CenturyLink[237]
2011-04-01,add,BLK,BlackRock,Acquired by Sanofi Aventis (SNY)[236]
2011-04-01,remove,GENZ,Genzyme,Acquired by Sanofi Aventis (SNY)[236]
2011-04-27,add,CMG,Chipotle Mexican Grill,Acquired by private equity firms.[235]
2011-04-27,remove,NOVL,Novell,Acquired by private equity firms.[235]
2011-06-01,add,ANR,Alpha Natural Resources,Alpha Natural Resources acquired Massey Energy.[234]
2011-06-01,remove,MEE,Massey Energy,Alpha Natural Resources acquired Massey Energy.[234]
2011-06-30,add,MPC,Marathon Oil,Market capitalization adjustments.[233]
2011-06-30,remove,RSH,RadioShack,Market capitalization adjustments.[233]
2011-07-05,add,ACN,Accenture,Marshall & Iisley is being bought by Bank of Montreal[232]
2011-07-05,remove,MI,Marshall & Ilsley,Marshall & Iisley is being bought by Bank of Montreal[232]
2011-09-23,add,MOS,The Mosaic Company,Acquired by Texas Instruments (TXN).[231]
2011-09-23,remove,NSM,National Semiconductor,Acquired by Texas Instruments (TXN).[231]
2011-10-14,add,TEL,TE Connectivity,Acquired by Teva Pharmaceutical Industries (TEVA).[230]
2011-10-14,remove,CEPH,Cephalon,Acquired by Teva Pharmaceutical Industries (TEVA).[230]
2011-10-31,add,XYL,Xylem,Spun off from ITT Corp.[229]
2011-10-31,remove,ITT,ITT,Spun off from ITT Corp.[229]
2011-11-18,add,CBE,Cooper Industries,Janus Capital Group's market capitalization is less than $1.2 billion  and is no longer representative of the large cap market space.[228]
2011-11-18,remove,JNS,Janus Capital Group,Janus Capital Group's market capitalization is less than $1.2 billion  and is no longer representative of the large cap market space.[228]
2011-12-12,add,GAS,AGL Resources.,"Nicor acquired by AGL, which retained the GAS ticker.[227]"
2011-12-12,remove,GAS,Nicor Gas,"Nicor acquired by AGL, which retained the GAS ticker.[227]"
2011-12-16,add,BWA,BorgWarner,Market capitalization changes[226]
2011-12-16,add,DLTR,Dollar Tree,Market capitalization changes
2011-12-16,add,PRGO,Perrigo,Market capitalization changes
2011-12-16,remove,AKS,AK Steel,Market capitalization changes[226]
2011-12-16,remove,MWW,Monster Worldwide,Market capitalization changes
2011-12-16,remove,WFR,MEMC Electronic Materials,Market capitalization changes
2011-12-20,add,TRIP,TripAdvisor,Expedia spun off TripAdvisor.[225]
2011-12-20,remove,TLAB,Tellabs,Expedia spun off TripAdvisor.[225]
2011-12-31,add,WPX,WPX Energy,Market capitalization changes[224]
2011-12-31,remove,CPWR,Compuware,Market capitalization changes[224]
2012-03-13,add,CCI,Crown Castle,Acquired by Exelon Corp. (EXC)[223]
2012-03-13,remove,CEG,Constellation Energy Group,Acquired by Exelon Corp. (EXC)[223]
2012-04-03,add,FOSL,Fossil,Acquired by Express Scripts (ESRX)[222]
2012-04-03,remove,MHS,Medco Health Solutions,Acquired by Express Scripts (ESRX)[222]
2012-04-23,add,PSX,Phillips 66,ConocoPhillips spun off Phillips 66[221]
2012-04-23,remove,SVU,Supervalu,ConocoPhillips spun off Phillips 66[221]
2012-05-17,add,KMI,Kinder Morgan,Acquired by Kinder Morgan (KMI)[220]
2012-05-17,remove,EP,El Paso Corporation,Acquired by Kinder Morgan (KMI)[220]
2012-05-21,add,ALXN,Alexion Pharmaceuticals,Acquired by Google (GOOG)[219]
2012-05-21,remove,MMI,Motorola Mobility,Acquired by Google (GOOG)[219]
2012-06-05,add,LRCX,Lam Research,Acquired by Lam Research (LRCX)[218]
2012-06-05,remove,NVLS,Novellus Systems,Acquired by Lam Research (LRCX)[218]
2012-06-29,add,MNST,Monster Beverage,Split up of Sara Lee[217]
2012-06-29,remove,SLE,Sara Lee Corporation,Split up of Sara Lee[217]
2012-07-02,add,STX,Seagate Technology,Acquired by Duke Energy (DUK)[216]
2012-07-02,remove,PGN,Progress Energy,Acquired by Duke Energy (DUK)[216]
2012-07-31,add,ESV,Ensco,Goodrich acquired by United Technologies (UTX).[215]
2012-07-31,remove,GR,Goodrich Corporation,Goodrich acquired by United Technologies (UTX).[215]
2012-09-05,add,LYB,LyondellBasell,SHLD below public float threshold
2012-09-05,remove,SHLD,Sears Holdings,SHLD below public float threshold
2012-10-01,add,ADT,ADT,Tyco spun off ADT
2012-10-01,add,PNR,Pentair,Tyco spin-off merged w/Pentair
2012-10-01,remove,DV,DeVry,Tyco spin-off merged w/Pentair
2012-10-01,remove,LXK,Lexmark,Tyco spun off ADT
2012-10-02,add,KRFT,Kraft Foods,Kraft split into two companies[213]
2012-10-02,add,MDLZ,Mondelez,Old Kraft Foods renamed Mondelez[214]
2012-10-02,remove,ANR,Alpha Natural Resources,Kraft split into two companies[213]
2012-10-02,remove,KFT,Kraft Foods,Old Kraft Foods renamed Mondelez[214]
2012-10-10,add,PETM,PetSmart,Acquired by Energy Transfer Partners (ETP)[212]
2012-10-10,remove,SUN,Sunoco,Acquired by Energy Transfer Partners (ETP)[212]
2012-12-03,add,DG,Dollar General,Acquired by Eaton Corp. (ETN)[211]
2012-12-03,remove,CBE,Cooper Industries,Acquired by Eaton Corp. (ETN)[211]
2012-12-11,add,GRMN,Garmin,Market capitalization changes[210]
2012-12-11,remove,RRD,RR Donnelley,Market capitalization changes[210]
2012-12-21,add,DLPH,Delphi Automotive,TIE acquired by Precision Cast Parts (PCP)[209]
2012-12-21,remove,TIE,Titanium Metals,TIE acquired by Precision Cast Parts (PCP)[209]
2013-01-02,add,ABBV,AbbVie,ABBV spun off from Abbott Labs (ABT)[208]
2013-01-02,remove,FII,Federated Investors,ABBV spun off from Abbott Labs (ABT)[208]
2013-02-15,add,PVH,PVH,Market capitalization changes[207]
2013-02-15,remove,BIG,Big Lots,Market capitalization changes[207]
2013-04-30,add,REGN,Regeneron Pharmaceuticals,A majority of MetroPCS was acquired by T-Mobile[206]
2013-04-30,remove,PCS,MetroPCS,A majority of MetroPCS was acquired by T-Mobile[206]
2013-05-08,add,MAC,Macerich,Acquired by Aetna (AET)[205]
2013-05-08,remove,CVH,Coventry Health Care,Acquired by Aetna (AET)[205]
2013-05-23,add,KSU,Kansas City Southern,DF too small after spinoff of White Wave Foods[204]
2013-05-23,remove,DF,Dean Foods,DF too small after spinoff of White Wave Foods[204]
2013-06-06,add,GM,General Motors,HNZ acquired by consortium[203]
2013-06-06,remove,HNZ,Heinz,HNZ acquired by consortium[203]
2013-06-21,add,ZTS,Zoetis,Zoetis spun off by Pfizer[202]
2013-06-21,remove,FHN,First Horizon,Zoetis spun off by Pfizer[202]
2013-07-01,add,NWSA,21st Century Fox,Apollo Group's market cap more representative of a mid-cap[201]
2013-07-01,remove,APOL,Apollo Education Group,Apollo Group's market cap more representative of a mid-cap[201]
2013-07-08,add,NLSN,Nielsen Holdings,Softbank consortium purchase results in public float below 50%[200]
2013-07-08,remove,S,Sprint Nextel,Softbank consortium purchase results in public float below 50%[200]
2013-09-10,add,DAL,Delta Air Lines,BMC taken private by consortium[199]
2013-09-10,remove,BMC,BMC Software,BMC taken private by consortium[199]
2013-09-20,add,AME,Ametek,Market capitalization change.[198]
2013-09-20,add,VRTX,Vertex Pharmaceuticals,Market capitalization change.[198]
2013-09-20,remove,AMD,Advanced Micro Devices,Market capitalization change.[198]
2013-09-20,remove,SAI,SAIC,Market capitalization change.[198]
2013-10-29,add,RIG,Transocean,Founder Michael Dell and Silver Lake Partners acquired Dell.[197]
2013-10-29,remove,DELL,Dell,Founder Michael Dell and Silver Lake Partners acquired Dell.[197]
2013-11-13,add,KORS,Michael Kors,ICE Exchange acquired NYSE Euronext.[196]
2013-11-13,remove,NYX,NYSE Euronext,ICE Exchange acquired NYSE Euronext.[196]
2013-12-02,add,ALLE,Allegion,Allegion spun off by Ingersoll Rand.[195]
2013-12-02,remove,JCP,JCPenney,Allegion spun off by Ingersoll Rand.[195]
2013-12-10,add,GGP,General Growth Properties,MOLX acquired by Koch Industries.[194]
2013-12-10,remove,MOLX,Molex,MOLX acquired by Koch Industries.[194]
2013-12-23,add,ADS,Alliance Data Systems,Market capitalization changes.[193]
2013-12-23,add,FB,Facebook,Market capitalization changes.[193]
2013-12-23,add,MHK,Mohawk Industries,Market capitalization changes.[193]
2013-12-23,remove,ANF,Abercrombie & Fitch,Market capitalization changes.[193]
2013-12-23,remove,JDSU,JDS Uniphase,Market capitalization changes.[193]
2013-12-23,remove,TER,Teradyne,Market capitalization changes.[193]
2014-01-24,add,TSCO,Tractor Supply,Life Technologies acquired by Thermo Fisher Scientific Inc[192]
2014-01-24,remove,LIFE,Life Technologies,Life Technologies acquired by Thermo Fisher Scientific Inc[192]
2014-03-21,add,GMCR,Keurig Green Mountain,Market capitalization changes[191]
2014-03-21,remove,WPX,WPX Energy,Market capitalization changes[191]
2014-04-02,add,ESS,Essex Property Trust,Market capitalization changes[190]
2014-04-02,remove,CLF,Cliffs Natural Resources,Market capitalization changes[190]
2014-04-03,add,GOOGL,Google,Google Class C share distribution[189]
2014-05-01,add,NAVI,Navient,Navient Spun off from SLM[188]
2014-05-01,add,UA,Under Armour,Beam acquired by Suntory[188]
2014-05-01,remove,BEAM,Suntory Global Spirits,Beam acquired by Suntory[188]
2014-05-01,remove,SLM,SLM Corporation,Navient Spun off from SLM[188]
2014-05-08,add,AVGO,Avago Technologies,Avago acquires LSI[187]
2014-05-08,remove,LSI,LSI Corporation,Avago acquires LSI[187]
2014-06-20,add,XEC,Cimarex Energy,Market capitalization changes[186]
2014-06-20,remove,IGT,International Game Technology,Market capitalization changes[186]
2014-07-01,add,AMG,Affiliated Managers Group,Actavis acquires Forest Laboratories[185]
2014-07-01,remove,FRX,Forest Laboratories,Actavis acquires Forest Laboratories[185]
2014-07-02,add,MLM,Martin Marietta,Market capitalization changes[184]
2014-07-02,remove,X,United States Steel,Market capitalization changes[184]
2014-08-06,add,DISCK,Discovery Communications,Class C share distribution[183]
2014-08-18,add,MNK,Mallinckrodt,Market cap changes[182]
2014-08-18,remove,RDC,Rowan Companies,Market cap changes[182]
2014-09-20,add,UHS,Universal Health Services,Market cap changes
2014-09-20,add,URI,United Rentals,Market cap changes[181]
2014-09-20,remove,BTU,Peabody Energy,Market cap changes[181]
2014-09-20,remove,GHC,Graham Holdings,Market cap changes
